der Brautwerber,der Brautführer
 mancherley,unterschiedlich
 embsiglich,mit Fleiß
 gleicher weise,ähnlich
 füglich,geschicklich
 frey,ledig
 hartneckicht,widerspenstiglich
 köstlich,schleckerhafftig
 hurtig,fertig
 boßhafftiglich,verkehrt
 gerade,gleich
 auß Anschlag,auß Abrede
 reichlich,überflüssig
 unruhig,auffrührisch
 zierlich,anständig
 klärlich,beweißlich
 unzierlich,ungeputzt
 zierlich,geputzt
 verständlich,vernehmlich
 unbillig,wider Billigkeit
 grausamlich,grimmig
 ohne Sorg,verschwenderisch
 fälschlich,erdachter weise
 überflüssig łáskáwie,günstig,geneigt,günstig,geneigt
 weinentlich,jámmerlich
 hefftig,ungestümmig
 eingezogen,mässiglich
 mit Ruhm,ruhmrätiger Weise
 gehling,zuhefftig
 boßhafftig,boßhafftiger weise
